,act_in_vehicle_ep_0,act_on_bike_ep_0,act_on_foot_ep_0,act_running_ep_0,act_still_ep_0,act_walking_ep_0,audio_amp_mean_ep_0,audio_amp_std_ep_0,audio_convo_duration_ep_0,audio_convo_num_ep_0,audio_voice_ep_0,call_in_duration_ep_0,call_in_num_ep_0,call_miss_num_ep_0,call_out_duration_ep_0,call_out_num_ep_0,light_mean_ep_0,light_std_ep_0,loc_dist_ep_0,loc_max_dis_from_campus_ep_0,loc_visit_num_ep_0,other_playing_duration_ep_0,other_playing_num_ep_0,sms_in_num_ep_0,sms_out_num_ep_0,unlock_duration_ep_0,unlock_num_ep_0
act_in_vehicle_ep_0,1.0,0.0931874967541586,-0.03833722969322044,-0.004149877465020465,-0.5672729753833267,0.10555455237680846,0.05800129641808994,0.052651369710608825,-0.01226247313225666,-0.025774290347885483,-0.007957968268691992,0.043207299319795084,0.12345019686980005,-0.010536200244761632,0.02188412082561539,0.1261902649472025,0.12756834209065004,0.0765777187192771,0.6981318932452159,0.10785157997467958,0.00030213038971948304,0.08034595566465388,0.07380421249908702,0.04738883737070759,0.04705641592434915,0.0224392782168208,0.03357113815753509
act_on_bike_ep_0,0.0931874967541586,1.0,0.008390384206712655,0.01137654334437501,-0.16320787938081316,0.006934100146714018,-0.005395161908773795,-0.007504921873547992,0.02067171418639596,0.023308785690726058,0.014122819010212891,-0.03644025015676266,-0.03808831533279089,-0.006880963241867169,-0.02963069330220348,-0.028852567752802746,0.04114759746904759,0.012687510265642351,0.07894268257608764,0.031162208740432837,0.01591163468209357,-0.01801009780699544,-0.01927209044481171,-0.039255402375424825,-0.04103120731022769,-0.032116089408895265,0.007957320212125996
act_on_foot_ep_0,-0.03833722969322044,0.008390384206712655,1.0,-0.05785963372156592,-0.19220590727558104,-0.3139204419317,-0.07477099243848538,-0.08521441142536179,0.4915142894502281,0.4873874858086897,0.4087957276255049,-0.008072613082431946,0.04049631578098518,0.07679935771836767,0.042119437646989125,0.10738435582604416,0.08768681721888182,0.056456414658768654,0.0028503681258221386,0.016678313935513927,0.14254583060272163,-0.21286709948040747,-0.30062560963704166,0.11256291740304687,0.11019198598811375,0.11348440009060631,0.2154904346850794
act_running_ep_0,-0.004149877465020465,0.01137654334437501,-0.05785963372156592,1.0,-0.06937761067414519,0.08729608395240436,0.005302776044030043,0.004896005149908837,-0.06379052389602427,-0.07002966647996768,-0.05385811499372683,,,,,,,,-0.0015581490195136446,-0.018283318439241858,-0.0011602222382370894,0.057943704294597324,0.0537461225326488,,,-0.035042574588831504,0.00040145766052348923
act_still_ep_0,-0.5672729753833267,-0.16320787938081316,-0.19220590727558104,-0.06937761067414519,1.0,-0.6054020818524952,-0.08841943068153145,-0.06820654573873876,-0.1639233292409814,-0.15273093186546072,-0.14261995115940806,-0.027680709889910636,-0.13341629294331248,-0.00588615710056115,-0.08560781439894052,-0.20141148006040485,-0.08668457164964585,-0.06649658161944677,-0.41025322296981415,-0.0310742029783005,-0.23394849230658005,-0.013081250303282381,-0.008434573328131157,-0.09757394979750253,-0.0843773058359952,-0.09244183299433989,-0.312327077973898
act_walking_ep_0,0.10555455237680846,0.006934100146714018,-0.3139204419317,0.08729608395240436,-0.6054020818524952,1.0,0.15562660952882482,0.1450376200828371,-0.31031298883854525,-0.3290748194931423,-0.22647067849309227,,,,,,,,0.07228663857552875,-0.06624920469870871,0.2088527384833098,0.19288548580016543,0.28528822005815957,,,-0.06524270991620892,0.17076987505426414
audio_amp_mean_ep_0,0.05800129641808994,-0.005395161908773795,-0.07477099243848538,0.005302776044030043,-0.08841943068153145,0.15562660952882482,1.0,0.9488982353272927,0.22288379275364276,0.2299258828169881,0.480899713050984,0.04755284261561297,0.20402668352125652,0.04060629747123506,0.037206798172876664,0.22827760859819418,0.06352097395517571,0.04678974563189699,0.07455350080584511,-0.024931932870342243,0.2155021568569263,-0.015156353965120769,0.019167067810776765,0.09287160675791573,0.07184106416420283,-0.11383542013671272,-0.08535807963810962
audio_amp_std_ep_0,0.052651369710608825,-0.007504921873547992,-0.08521441142536179,0.004896005149908837,-0.06820654573873876,0.1450376200828371,0.9488982353272927,1.0,0.18767794145414488,0.22230141052681787,0.44422518360595026,0.07129331297484096,0.21676742994095607,0.049208375385199205,0.04691770907975261,0.2214194195399962,0.03898813547336884,0.030869589508396154,0.06527707815417207,-0.026260173262692605,0.2214674734053962,-0.016765410290753204,0.02668323461709529,0.09405837321469887,0.07133429202899395,-0.12038811189618215,-0.10095333176874269
audio_convo_duration_ep_0,-0.01226247313225666,0.02067171418639596,0.4915142894502281,-0.06379052389602427,-0.1639233292409814,-0.31031298883854525,0.22288379275364276,0.18767794145414488,1.0,0.9177291020081266,0.8615747426375233,0.025187008562646867,0.10230745008896319,-0.027724061969503035,0.0035134122501751597,0.07349474340701793,0.08062770037431123,0.06355279704546277,0.0378789191295796,0.019619193867659757,0.16624083707779122,-0.2570436746730633,-0.34301441981200786,0.16647330494804063,0.1558033266166813,0.1411254420497294,0.15606574657474986
audio_convo_num_ep_0,-0.025774290347885483,0.023308785690726058,0.4873874858086897,-0.07002966647996768,-0.15273093186546072,-0.3290748194931423,0.2299258828169881,0.22230141052681787,0.9177291020081266,1.0,0.7939240199482883,0.03358584917716206,0.08849421431546284,-0.03763824315554329,0.004105685665715811,0.04752620709959245,0.07207854185672602,0.05790988606778629,0.027422524686342743,0.02492396520227274,0.16856594520819432,-0.27488665095576925,-0.3622564951110888,0.15153834012162953,0.14306562674844214,0.145583684580167,0.14785022105922171
audio_voice_ep_0,-0.007957968268691992,0.014122819010212891,0.4087957276255049,-0.05385811499372683,-0.14261995115940806,-0.22647067849309227,0.480899713050984,0.44422518360595026,0.8615747426375233,0.7939240199482883,1.0,0.018927864718426574,0.11154665548843098,-0.024315478316629897,0.008200653937956492,0.11441599444184195,0.06378974695734137,0.03902253190425797,0.04153821364060231,0.010347706843562303,0.22050985976345816,-0.2280502047182938,-0.29347808024064675,0.14812851002144958,0.1300157861317962,0.04111685740137518,0.06982493498815401
call_in_duration_ep_0,0.043207299319795084,-0.03644025015676266,-0.008072613082431946,,-0.027680709889910636,,0.04755284261561297,0.07129331297484096,0.025187008562646867,0.03358584917716206,0.018927864718426574,1.0,0.5717976078701368,0.019985612333394583,0.23116356617358952,0.25486051403642845,0.01687619405808175,0.005800077333125456,0.0155223613299145,-0.014467674929676934,0.01133683631367089,,,0.15287777138978423,0.15602915242138207,0.17627742169914346,0.02082053203578248
call_in_num_ep_0,0.12345019686980005,-0.03808831533279089,0.04049631578098518,,-0.13341629294331248,,0.20402668352125652,0.21676742994095607,0.10230745008896319,0.08849421431546284,0.11154665548843098,0.5717976078701368,1.0,0.03585507099496414,0.25341950554224313,0.5077938611471465,0.05255956569446131,0.03479487486574501,0.07548212758890606,0.052837965708856204,0.05622162553981145,,,0.19966805946423094,0.19548817109684252,0.18592335754667066,0.14316669493674405
call_miss_num_ep_0,-0.010536200244761632,-0.006880963241867169,0.07679935771836767,,-0.00588615710056115,,0.04060629747123506,0.049208375385199205,-0.027724061969503035,-0.03763824315554329,-0.024315478316629897,0.019985612333394583,0.03585507099496414,1.0,0.008717691589132263,0.01406274875573392,-0.00782168152386205,-0.007374470050186134,-0.006219842430362841,-0.01926745759085395,0.03402795692394223,,,-0.008458469678236945,-0.007773330108328142,-0.0010227733179091324,0.03940354323025354
call_out_duration_ep_0,0.02188412082561539,-0.02963069330220348,0.042119437646989125,,-0.08560781439894052,,0.037206798172876664,0.04691770907975261,0.0035134122501751597,0.004105685665715811,0.008200653937956492,0.23116356617358952,0.25341950554224313,0.008717691589132263,1.0,0.5194551543796133,0.019537870677087937,0.012901322489049115,0.0035897826845125262,-0.023467347162050248,0.06392884398255995,,,0.1151292037224842,0.11977915751320764,0.12461854821225474,0.0729080095804737
call_out_num_ep_0,0.1261902649472025,-0.028852567752802746,0.10738435582604416,,-0.20141148006040485,,0.22827760859819418,0.2214194195399962,0.07349474340701793,0.04752620709959245,0.11441599444184195,0.25486051403642845,0.5077938611471465,0.01406274875573392,0.5194551543796133,1.0,0.06504661311515304,0.048191875850011515,0.07764618565123765,0.03393461128743449,0.12094382079945769,,,0.18101814708678088,0.18206075195468638,0.15630728525049228,0.18987632407173277
light_mean_ep_0,0.12756834209065004,0.04114759746904759,0.08768681721888182,,-0.08668457164964585,,0.06352097395517571,0.03898813547336884,0.08062770037431123,0.07207854185672602,0.06378974695734137,0.01687619405808175,0.05255956569446131,-0.00782168152386205,0.019537870677087937,0.06504661311515304,1.0,0.7809612079826304,0.10767447679746317,0.05051434864868288,0.11886381045409791,,,0.03836232606474877,0.0493224857670369,0.051290329181774744,0.063290765613834
light_std_ep_0,0.0765777187192771,0.012687510265642351,0.056456414658768654,,-0.06649658161944677,,0.04678974563189699,0.030869589508396154,0.06355279704546277,0.05790988606778629,0.03902253190425797,0.005800077333125456,0.03479487486574501,-0.007374470050186134,0.012901322489049115,0.048191875850011515,0.7809612079826304,1.0,0.06282260687703606,0.056117891523363654,0.07059710571677434,,,0.0395899897609562,0.04797679277916055,0.04665115629356115,0.06975088883143088
loc_dist_ep_0,0.6981318932452159,0.07894268257608764,0.0028503681258221386,-0.0015581490195136446,-0.41025322296981415,0.07228663857552875,0.07455350080584511,0.06527707815417207,0.0378789191295796,0.027422524686342743,0.04153821364060231,0.0155223613299145,0.07548212758890606,-0.006219842430362841,0.0035897826845125262,0.07764618565123765,0.10767447679746317,0.06282260687703606,1.0,0.1166957576509491,0.1210006799453032,0.02218096269167468,0.001675845783827217,0.01845832200948304,0.017933656578653107,0.02223417437565904,0.04426916645300627
loc_max_dis_from_campus_ep_0,0.10785157997467958,0.031162208740432837,0.016678313935513927,-0.018283318439241858,-0.0310742029783005,-0.06624920469870871,-0.024931932870342243,-0.026260173262692605,0.019619193867659757,0.02492396520227274,0.010347706843562303,-0.014467674929676934,0.052837965708856204,-0.01926745759085395,-0.023467347162050248,0.03393461128743449,0.05051434864868288,0.056117891523363654,0.1166957576509491,1.0,-0.04677569648663179,-0.04581461873272812,-0.043434014492863694,-0.13099196784371656,-0.1278906912843808,0.06533292235323396,-0.03597177599549923
loc_visit_num_ep_0,0.00030213038971948304,0.01591163468209357,0.14254583060272163,-0.0011602222382370894,-0.23394849230658005,0.2088527384833098,0.2155021568569263,0.2214674734053962,0.16624083707779122,0.16856594520819432,0.22050985976345816,0.01133683631367089,0.05622162553981145,0.03402795692394223,0.06392884398255995,0.12094382079945769,0.11886381045409791,0.07059710571677434,0.1210006799453032,-0.04677569648663179,1.0,-0.10316232693749401,-0.085644544759009,0.1193597751233223,0.11950129964348766,-0.04768264132165332,0.2279385020685385
other_playing_duration_ep_0,0.08034595566465388,-0.01801009780699544,-0.21286709948040747,0.057943704294597324,-0.013081250303282381,0.19288548580016543,-0.015156353965120769,-0.016765410290753204,-0.2570436746730633,-0.27488665095576925,-0.2280502047182938,,,,,,,,0.02218096269167468,-0.04581461873272812,-0.10316232693749401,1.0,0.6893975281458196,,,0.2665864940642027,0.043424944385103
other_playing_num_ep_0,0.07380421249908702,-0.01927209044481171,-0.30062560963704166,0.0537461225326488,-0.008434573328131157,0.28528822005815957,0.019167067810776765,0.02668323461709529,-0.34301441981200786,-0.3622564951110888,-0.29347808024064675,,,,,,,,0.001675845783827217,-0.043434014492863694,-0.085644544759009,0.6893975281458196,1.0,,,0.3072399117450481,0.0940681809857555
sms_in_num_ep_0,0.04738883737070759,-0.039255402375424825,0.11256291740304687,,-0.09757394979750253,,0.09287160675791573,0.09405837321469887,0.16647330494804063,0.15153834012162953,0.14812851002144958,0.15287777138978423,0.19966805946423094,-0.008458469678236945,0.1151292037224842,0.18101814708678088,0.03836232606474877,0.0395899897609562,0.01845832200948304,-0.13099196784371656,0.1193597751233223,,,1.0,0.9407192469593684,0.14939081255666198,0.35041054330219945
sms_out_num_ep_0,0.04705641592434915,-0.04103120731022769,0.11019198598811375,,-0.0843773058359952,,0.07184106416420283,0.07133429202899395,0.1558033266166813,0.14306562674844214,0.1300157861317962,0.15602915242138207,0.19548817109684252,-0.007773330108328142,0.11977915751320764,0.18206075195468638,0.0493224857670369,0.04797679277916055,0.017933656578653107,-0.1278906912843808,0.11950129964348766,,,0.9407192469593684,1.0,0.14757080933747196,0.3557204872841627
unlock_duration_ep_0,0.0224392782168208,-0.032116089408895265,0.11348440009060631,-0.035042574588831504,-0.09244183299433989,-0.06524270991620892,-0.11383542013671272,-0.12038811189618215,0.1411254420497294,0.145583684580167,0.04111685740137518,0.17627742169914346,0.18592335754667066,-0.0010227733179091324,0.12461854821225474,0.15630728525049228,0.051290329181774744,0.04665115629356115,0.02223417437565904,0.06533292235323396,-0.04768264132165332,0.2665864940642027,0.3072399117450481,0.14939081255666198,0.14757080933747196,1.0,0.3558338293034375
unlock_num_ep_0,0.03357113815753509,0.007957320212125996,0.2154904346850794,0.00040145766052348923,-0.312327077973898,0.17076987505426414,-0.08535807963810962,-0.10095333176874269,0.15606574657474986,0.14785022105922171,0.06982493498815401,0.02082053203578248,0.14316669493674405,0.03940354323025354,0.0729080095804737,0.18987632407173277,0.063290765613834,0.06975088883143088,0.04426916645300627,-0.03597177599549923,0.2279385020685385,0.043424944385103,0.0940681809857555,0.35041054330219945,0.3557204872841627,0.3558338293034375,1.0
